img_path id
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20011_016_img00105.jpg 15
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40172_100_img02626.jpg 1248
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20011_050_img00630.jpg 49
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40172_102_img00010.jpg 1250
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_39801_006_img00155.jpg 661
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20035_002_img00099.jpg 175
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_63563_169_img01361.jpg 5656
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40752_043_img00397.jpg 3620
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40752_002_img00010.jpg 3583
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40171_042_img01141.jpg 1151
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40191_331_img02445.jpg 1662
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40752_129_img01335.jpg 3702
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40171_044_img00010.jpg 1153
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_63552_119_img00972.jpg 4799
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20034_038_img00657.jpg 161
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_39851_035_img01270.jpg 771
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20011_051_img00629.jpg 50
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_63563_125_img01027.jpg 5612
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40191_004_img00011.jpg 1338
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20033_022_img00775.jpg 122
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20051_025_img00450.jpg 260
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40751_029_img00785.jpg 3570
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40204_104_img00720.jpg 2194
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20035_034_img00010.jpg 205
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40192_204_img01522.jpg 1864
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20064_022_img00359.jpg 444
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20065_063_img00724.jpg 533
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_63521_086_img01872.jpg 4638
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40191_071_img00514.jpg 1403
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40201_092_img00717.jpg 2060
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_39811_005_img00120.jpg 702
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20061_023_img00148.jpg 346
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40204_146_img00996.jpg 2236
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40204_152_img01039.jpg 2242
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40752_017_img00170.jpg 3598
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20051_019_img00310.jpg 254
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40981_017_img00308.jpg 4051
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40752_184_img01856.jpg 3757
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40162_028_img00817.jpg 1049
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40243_090_img00645.jpg 3234
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40241_291_img01975.jpg 3104
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40752_144_img01517.jpg 3717
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40213_109_img00772.jpg 2714
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40192_007_img00015.jpg 1671
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_20063_016_img00601.jpg 410
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40172_017_img00477.jpg 1168
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_40244_095_img00715.jpg 3406
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_63561_148_img01001.jpg 5320
/home/gordonjun/Desktop/CV/AIC2018_iamai/ReID/ReID_CNN/datasets/VRIC/probe_images/MVI_63562_091_img00747.jpg 5445
